model,tier,method,condition,f32_accuracy,f32_f1_macro,int8_accuracy,int8_f1_macro,delta_accuracy,delta_f1_macro,agreement_rate,mcnemar_p,tflite_size_kb
m2,1,ptq,combined,0.9135,0.8975,0.9135,0.8975,0.0000,0.0000,0.9904,0.4795,19.9
m2,1,qat,combined,0.9135,0.8975,0.8990,0.8799,0.0144,0.0176,0.9663,0.4497,20.3
m2,2,ptq,combined,0.8654,0.7438,0.8654,0.7413,0.0000,0.0025,0.9904,1.0000,20.1
m2,2,qat,combined,0.8654,0.7438,0.8702,0.7426,-0.0048,0.0012,0.9567,1.0000,20.5
m2,3,ptq,combined,0.7832,0.7288,0.7832,0.7288,0.0000,0.0000,1.0000,1.0000,20.3
m2,3,qat,combined,0.7832,0.7288,0.8042,0.7440,-0.0210,-0.0152,0.9441,0.3711,20.6
m5,1,ptq,standard,0.8798,0.8543,0.8750,0.8492,0.0048,0.0051,0.9952,1.0000,14.9
m5,1,qat,standard,0.8798,0.8543,0.8750,0.8492,0.0048,0.0051,0.9952,1.0000,14.9
m5,2,ptq,standard,0.8077,0.5987,0.8125,0.6138,-0.0048,-0.0150,0.9904,1.0000,15.2
m5,2,qat,standard,0.8077,0.5987,0.8125,0.6138,-0.0048,-0.0150,0.9904,1.0000,15.2
m5,3,ptq,standard,0.7203,0.6622,0.7273,0.6714,-0.0070,-0.0092,0.9930,1.0000,15.4
m5,3,qat,standard,0.7203,0.6622,0.7273,0.6714,-0.0070,-0.0092,0.9930,1.0000,15.4
m6,1,ptq,standard,0.8702,0.8360,0.8750,0.8412,-0.0048,-0.0052,0.9952,1.0000,21.2
m6,1,qat,standard,0.8702,0.8360,0.8990,0.8776,-0.0288,-0.0417,0.9327,0.1814,22.1
m6,2,ptq,standard,0.8702,0.7826,0.8702,0.7835,0.0000,-0.0009,0.9856,0.4795,21.3
m6,2,qat,standard,0.8702,0.7826,0.8750,0.7774,-0.0048,0.0051,0.9519,1.0000,22.3
m6,3,ptq,standard,0.7832,0.7146,0.7832,0.7125,0.0000,0.0021,0.9720,0.4795,21.5
m6,3,qat,standard,0.7832,0.7146,0.7902,0.7170,-0.0070,-0.0024,0.9231,1.0000,22.4
